Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",2.275682190643932,2.8049339806710454,0.5292517900271134,0.48295901346286785,0.046292776564245575
Non-metallic mineral products,0.88276990063385,1.4059676992205938,0.5231977985867439,0.1848754914462223,0.3383223071405216
Basic metal products,0.7573506411093279,1.2776450422696188,0.5202944011602909,0.24909156354576023,0.2712028376145307
"Water supply, sewage and waste treatment and disposal services",0.46671581574089616,0.6818386350267504,0.2151228192858542,0.0766658814436477,0.1384569378422065
Transportation,0.5144490481499342,0.665179945170304,0.1507308970203698,0.05761193977266721,0.09311895724770258
Mined and quarried goods,0.27421980331550444,0.6428605234194997,0.3686407201039953,0.18143616563861603,0.18720455446537926
Petroleum and coal products,0.4347969020951587,0.6232647928384495,0.1884678907432908,0.12216504781158365,0.06630284293170714
"Agricultural, forest, and fishery goods",0.3979675477482937,0.6077159530047689,0.2097484052564752,0.08742740913430289,0.12232099612217232
Chemical products,0.2879882557778336,0.5899700227172447,0.30198176693941114,0.1322092895902487,0.16977247734916245
Other manufactured products,0.15061132016397313,0.4090528451636046,0.25844152499963147,0.0744139710470604,0.18402755395257106
"Fabricated metal products, except machinery and furniture",0.003704584147586757,0.40833625522766154,0.4046316710800748,0.11578120796794161,0.2888504631121332
"Wood and paper products, printing and reproduction of recorded media",0.06291649143717944,0.37067384837432926,0.30775735693714984,0.16754039419155653,0.1402169627455933
"Food, beverages and tobacco products",0.013582342266349974,0.30380690657435616,0.2902245643080062,0.09155451274934684,0.19867005155865936
Construction,0.006039217744082384,0.28695202728843383,0.28091280954435144,0.06184565271551987,0.21906715682883157
Machinery and equipment,0.04148715671922374,0.27233973353043184,0.2308525768112081,0.07546055754718806,0.15539201926402005
Transport equipment,0.007672908435923529,0.26750513231060835,0.2598322238746848,0.09182913877780853,0.16800308509687628
Textile and leather products,0.07451681515377817,0.2627366174620527,0.1882198023082745,0.07956884818211707,0.10865095412615744
Electrical equipment,0.0008602640510108057,0.2432153418627603,0.2423550778117495,0.07689086075729795,0.16546421705445155
Food services and accommodation,0.011855471780486966,0.2126476894261152,0.20079221764562824,0.05967007722710366,0.14112214041852458
Manufacturing services and repair services of industrial equipment,0.020890400717414877,0.16815352804809994,0.14726312733068506,0.05507892152209055,0.09218420580859452
Other services,0.005895232103092161,0.1540204016591734,0.14812516955608124,0.05685217763485453,0.0912729919212267
"Computing machinery, electronic equipment and optical instruments",0.010671905471997997,0.14018003396718465,0.12950812849518664,0.07876491269496265,0.05074321580022399
Wholesale and retail trade and commodity brokerage services,0.004077567307525229,0.13320990859861234,0.1291323412910871,0.043129836946196015,0.0860025043448911
"Professional, scientific, and technical services",0.005841366796184847,0.1283563447715101,0.12251497797532525,0.06475782005352076,0.05775715792180448
Health and social care services,0.008560255805286273,0.1235595080087066,0.11499925220342033,0.040736540648598475,0.07426271155482186
Education services,0.01519107435270037,0.11913829732274477,0.1039472229700444,0.06037725985817289,0.04356996311187151
"Art, sports, and leisure services",0.006374337214822714,0.110641676546709,0.1042673393318863,0.05038433519557699,0.05388300413630931
"Public administration, defense, and social security services",0.03275838549964829,0.09573888754413563,0.06298050204448735,0.023004215402761895,0.03997628664172546
Business support services,0.0011992498883427716,0.08338371766798935,0.08218446777964658,0.02727879708042779,0.05490567069921879
Real estate services,0.0008954143152876199,0.05983657572329209,0.05894116140800447,0.026033014118773228,0.03290814728923124
Communications and broadcasting,0.0004855577640173925,0.05972151961186435,0.059235961847846956,0.02820184003089592,0.031034121816951036
Finance and insurance,0.0005694835284549763,0.03464351633490609,0.03407403280645111,0.018036733545644494,0.016037299260806617
