Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",1.5155498960107998,1.8662999363339523,0.3507500403231525,0.32128479193913817,0.02946524838401432
Non-metallic mineral products,0.6916989706625593,1.0952994399540668,0.4036004692915075,0.14369868532249946,0.25990178396900804
Basic metal products,0.5343311333301011,0.8966664525995645,0.3623353192694634,0.17483120239888358,0.1875041168705798
"Water supply, sewage and waste treatment and disposal services",0.434747034739092,0.6303607954081992,0.19561376066910724,0.07053707121602748,0.12507668945307976
Transportation,0.45444008491166776,0.5828484287804993,0.1284083438688315,0.04999755996662435,0.07841078390220714
"Agricultural, forest, and fishery goods",0.3538418154252138,0.5365955049038298,0.18275368947861598,0.07697752636488275,0.10577616311373322
Mined and quarried goods,0.20870714134658658,0.4829174508723195,0.27421030952573294,0.1369406154647487,0.13726969406098424
Chemical products,0.22485821738517417,0.45280564462064876,0.2279474272354746,0.10159459162309367,0.12635283561238092
Other manufactured products,0.12421198041207221,0.3311254389529114,0.2069134585408392,0.06003974684373701,0.1468737116971022
Petroleum and coal products,0.2076768556322383,0.2958509058824782,0.08817405025023989,0.057993114783136845,0.030180935467103043
"Wood and paper products, printing and reproduction of recorded media",0.050767936108755476,0.2933015821098739,0.24253364600111843,0.13370748209841454,0.10882616390270389
"Fabricated metal products, except machinery and furniture",0.0027019706383372586,0.29089566380916126,0.288193693170824,0.0830720826110654,0.20512161055975858
"Food, beverages and tobacco products",0.011321859824569153,0.24996800715344641,0.23864614732887726,0.07565926401882202,0.16298688331005523
Construction,0.005297536848732409,0.24696282862332425,0.24166529177459184,0.0532395622299293,0.18842572954466252
Machinery and equipment,0.037345503739572385,0.2401082764500164,0.20276277271044402,0.06701086968245226,0.13575190302799175
Transport equipment,0.007006645108164778,0.235473077629005,0.2284664325208402,0.08167301882765199,0.1467934136931882
Textile and leather products,0.06449202657018416,0.22280440804252477,0.1583123814723406,0.06790322936163433,0.09040915211070628
Electrical equipment,0.0007173798722812255,0.19830926136101287,0.19759188148873164,0.06340363756597117,0.13418824392276046
Food services and accommodation,0.010070202995676236,0.17770083343242035,0.16763063043674412,0.050131846799817664,0.11749878363692645
"Computing machinery, electronic equipment and optical instruments",0.011973231660233197,0.15656818492288282,0.14459495326264962,0.08879829626515345,0.05579665699749617
Manufacturing services and repair services of industrial equipment,0.017030359356060433,0.1338221711317408,0.11679181177568038,0.04424685200064244,0.07254495977503794
Other services,0.005172417845263009,0.13078712905940493,0.12561471121414192,0.04892459321815904,0.07669011799598288
Health and social care services,0.008228050855853193,0.1150202654527297,0.1067922145968765,0.038382563644512986,0.06840965095236351
Wholesale and retail trade and commodity brokerage services,0.0036145916759950255,0.1147922337456434,0.11117764206964838,0.03767548000503057,0.07350216206461781
"Professional, scientific, and technical services",0.005321202494875205,0.11457025262253787,0.10924905012766266,0.058579214993764166,0.05066983513389849
Education services,0.01418648451248406,0.1097175870801262,0.09553110256764215,0.05608964989796117,0.03944145266968098
"Art, sports, and leisure services",0.005770605319378155,0.09843727383274944,0.09266666851337128,0.0452703959476152,0.047396272565756084
"Public administration, defense, and social security services",0.029699788181146682,0.08504131246283834,0.05534152428169166,0.020489081668779753,0.034852442612911906
Business support services,0.001091847034136722,0.07367880882683905,0.07258696179270233,0.024399946012835412,0.048187015779866914
Real estate services,0.0008689825160953828,0.05710186775397808,0.056232885237882696,0.025064289370624916,0.03116859586725778
Communications and broadcasting,0.00046470390007868103,0.05606881270719151,0.05560410880711283,0.02684481705484776,0.028759291752265066
Finance and insurance,0.0005717686494148096,0.03407868911635697,0.03350692046694216,0.01794495344069085,0.01556196702625131
