Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",2.3363329278736193,2.803837456095245,0.46750452822162547,0.43069228850317787,0.036812239718447604
Non-metallic mineral products,0.8936862681775376,1.3885152362499729,0.49482896807243526,0.1886433303448365,0.30618563772759877
Basic metal products,0.5873890008966219,0.9987538932929376,0.4113648923963157,0.19177023018199266,0.21959466221432303
Transportation,0.5059233028605008,0.6775587370369559,0.1716354341764551,0.0672532415528854,0.10438219262356971
"Water supply, sewage and waste treatment and disposal services",0.4566569223171811,0.6756358164617727,0.21897889414459165,0.08114841042421335,0.13783048372037832
Mined and quarried goods,0.23798146762281866,0.5871917717023012,0.3492103040794825,0.1759517416070066,0.1732585624724759
"Agricultural, forest, and fishery goods",0.36386343234540014,0.5583272508602637,0.19446381851486355,0.07871386791249156,0.11574995060237199
Chemical products,0.25389808914708345,0.529047369430147,0.2751492802830635,0.12779659307222083,0.1473526872108427
Other manufactured products,0.1495050536035962,0.38483186746617865,0.23532681386258245,0.07513897671978129,0.16018783714280116
"Fabricated metal products, except machinery and furniture",0.0035403193624325476,0.3766394105197391,0.37309909115730655,0.12185807677521716,0.2512410143820894
Petroleum and coal products,0.25311390765777475,0.3753423694479193,0.12222846179014457,0.0827649257657385,0.03946353602440607
"Wood and paper products, printing and reproduction of recorded media",0.04639892041040989,0.33447424602064496,0.2880753256102351,0.16072599945492796,0.1273493261553071
Transport equipment,0.00904176730227869,0.29530906758024644,0.28626730027796776,0.09627470410189834,0.18999259617606942
"Food, beverages and tobacco products",0.013371490326494598,0.29462516483985274,0.28125367451335814,0.08829900578494858,0.19295466872840955
Construction,0.006781221812668457,0.28596797377345334,0.2791867519607849,0.06369354833064174,0.21549320363014318
Machinery and equipment,0.03436781557383281,0.27673196364861113,0.24236414807477832,0.08065460047515717,0.16170954759962114
Textile and leather products,0.06218241338086046,0.268612954788737,0.20643054140787653,0.09303034555735142,0.11340019585052512
Electrical equipment,0.0010418260782235759,0.2569232989817538,0.25588147290353025,0.08381631434574137,0.17206515855778887
Food services and accommodation,0.012623504863548548,0.20935285509429336,0.1967293502307448,0.060650122135752424,0.1360792280949924
"Computing machinery, electronic equipment and optical instruments",0.025304457711220918,0.18020020412210488,0.15489574641088397,0.08762465375084919,0.06727109266003478
Manufacturing services and repair services of industrial equipment,0.021570496117679545,0.15994386884261474,0.1383733727249352,0.05239845800058039,0.0859749147243548
Other services,0.005990113797284602,0.15956022165942219,0.1535701078621376,0.06033906337156138,0.09323104449057622
Health and social care services,0.008784240926999445,0.1304768567125502,0.12169261578555074,0.04483115351401704,0.0768614622715337
Wholesale and retail trade and commodity brokerage services,0.004507166073896997,0.12936713601467692,0.12485996994077993,0.04492025233506317,0.07993971760571675
"Art, sports, and leisure services",0.007458538600517126,0.1263382608132691,0.11887972221275198,0.06145207256521044,0.05742764964754154
"Professional, scientific, and technical services",0.0058140720702619785,0.12448937920138547,0.1186753071311235,0.06454991288197612,0.05412539424914738
Education services,0.015600440694515648,0.12151685417353773,0.10591641347902209,0.0634363583673626,0.04248005511165949
"Public administration, defense, and social security services",0.031939292116994394,0.10181501047067201,0.06987571835367762,0.02580084085506851,0.04407487749860911
Business support services,0.0011172000790292756,0.08393529194527602,0.08281809186624674,0.02786756095965963,0.05495053090658711
Communications and broadcasting,0.0004793690188119989,0.06328890095382228,0.06280953193501028,0.030713675584948585,0.032095856350061694
Real estate services,0.0008902063114375798,0.051526894837984276,0.050636688526546694,0.024985202573118016,0.025651485953428678
Finance and insurance,0.0005990298551583007,0.040017186722693936,0.039418156867535636,0.021368807828064895,0.018049349039470742
