Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",2.7243325241155807,3.178030554163846,0.45369803004826537,0.40267071689829015,0.05102731314997522
Non-metallic mineral products,1.0185985864627125,1.6018871575388494,0.5832885710761369,0.20288225324965983,0.38040631782647705
Basic metal products,0.745122896043475,1.2831006856265372,0.5379777895830622,0.22880891547254903,0.3091688741105132
"Water supply, sewage and waste treatment and disposal services",0.7507484097658396,1.0218776494727833,0.2711292397069437,0.1565930171169873,0.11453622258995638
Transportation,0.592239940989199,0.7865938314244664,0.1943538904352674,0.07055688643421752,0.12379700400104988
Chemical products,0.24319623010952796,0.5399767416394325,0.2967805115299046,0.13000497862858676,0.16677553290131783
"Agricultural, forest, and fishery goods",0.3510869596756897,0.5062685000890691,0.1551815404133794,0.06018567180440996,0.09499586860896944
Petroleum and coal products,0.353630643763343,0.4880825434907126,0.1344518997273696,0.08633463397536369,0.04811726575200591
Mined and quarried goods,0.18986651574899158,0.43786117633691407,0.2479946605879225,0.10214353386303554,0.14585112672488695
"Fabricated metal products, except machinery and furniture",0.011033807856592024,0.4351769221554676,0.4241431142988756,0.1350908626827852,0.2890522516160904
Other manufactured products,0.1278170244732758,0.4244432808280125,0.2966262563547367,0.10096912060069448,0.19565713575404226
Machinery and equipment,0.022447819666972773,0.3399715087246253,0.3175236890576525,0.10058093791979031,0.21694275113786218
Construction,0.010052894259027804,0.33818910343898984,0.32813620917996206,0.08008485810626698,0.24805135107369508
Transport equipment,0.00838917733775522,0.3247212037614595,0.3163320264237043,0.09647586489714527,0.219856161526559
"Food, beverages and tobacco products",0.013733260093676269,0.3109928779352609,0.29725961784158467,0.07983568207187679,0.21742393576970787
"Wood and paper products, printing and reproduction of recorded media",0.022608248576458663,0.31088551110094464,0.288277262524486,0.15979990599476868,0.1284773565297173
Electrical equipment,0.006068365215400479,0.3036961346055477,0.2976277693901472,0.09102752240881384,0.20660024698133334
"Computing machinery, electronic equipment and optical instruments",0.03674368083940786,0.25746707199203606,0.22072339115262818,0.0941907216609837,0.1265326694916445
Textile and leather products,0.057685597249379675,0.25189426817037924,0.19420867092099958,0.0858312541838933,0.10837741673710628
Food services and accommodation,0.015015209452798616,0.243027342679907,0.2280121332271084,0.0860487086506351,0.1419634245764733
Manufacturing services and repair services of industrial equipment,0.016205192591825436,0.22741514153804943,0.211209948946224,0.0911626783114054,0.1200472706348186
Health and social care services,0.01777551724833592,0.2063833432775668,0.18860782602923087,0.09308649434539108,0.09552133168383979
"Professional, scientific, and technical services",0.00975813562495954,0.20426213130216012,0.1945039956772006,0.12784928965234743,0.06665470602485316
Other services,0.012269530976370796,0.20269380450590835,0.19042427352953756,0.08429493209387696,0.10612934143566059
"Art, sports, and leisure services",0.011375759822696086,0.19835900348798347,0.18698324366528737,0.11139886096588317,0.0755843826994042
Wholesale and retail trade and commodity brokerage services,0.007805055834365521,0.17775323829986941,0.1699481824655039,0.0778849288822185,0.09206325358328539
Education services,0.01993639132991131,0.17600724560730285,0.15607085427739154,0.10939339645365122,0.04667745782374032
Communications and broadcasting,0.0014164922457357851,0.11424250839950413,0.11282601615376835,0.062320388928378094,0.05050562722539025
"Public administration, defense, and social security services",0.05039911335686894,0.11399065334376422,0.06359153998689529,0.03197471346193086,0.03161682652496443
Business support services,0.003192652965688377,0.09091157424058473,0.08771892127489635,0.037144409951807886,0.05057451132308846
Finance and insurance,0.0012905348719910415,0.0828459852901321,0.08155545041814105,0.04844821702414529,0.03310723339399576
Real estate services,0.0019435998306852607,0.07120880477887853,0.06926520494819327,0.03970798470523774,0.029557220242955533
